YEAR,MONTH,TAVG,TMAX,TMIN,HTDD,CLDD,ABSMAX,ABSMAX_DATE,ABSMIN,ABSMIN_DATE,ABS_RANGE,DX32,DX0,DT0,DT-18,PRCP,PRCPMAX,PRCPMAX_DATE,SNOW,SNOWMAX,SNOWMAX_DATE,DP.25,DP2.5,DP25X
1900,1,-7,-0.72,-13.33,786.1111111,0,9.444444444,19,-23.88888889,9,33.33333333,0,15,30,9,82.042,24.13,12,523.24,177.8,12,14,9,0
1900,2,-8.22,-2.17,-14.22,743.3333333,0,11.11111111,13,-30.55555556,2,41.66666667,0,15,28,9,121.92,56.896,13,368.3,NaN,,12,10,1
1900,3,-6.39,0.17,-12.94,766.6666667,0,10,9,-30.55555556,18,40.55555556,0,15,31,8,152.908,67.31,1,1267.46,NaN,,13,8,1
1900,4,4.11,10.11,-1.89,426.6666667,0,21.66666667,30,-9.444444444,9,31.11111111,0,2,23,0,24.638,12.7,18,5.08,NaN,,7,3,0
1900,5,10.72,18.33,3.11,238.8888889,3.333333333,27.77777778,27,-3.888888889,10,31.66666667,0,0,10,0,51.816,10.16,15,5.08,NaN,,11,8,0
1900,6,17.17,24.72,9.56,54.44444444,18.88888889,29.44444444,28,2.222222222,10,27.22222222,0,0,0,0,78.994,14.732,8,NaN,NaN,,10,7,0
1900,7,18.94,25.5,12.39,26.66666667,45.55555556,31.66666667,17,4.444444444,3,27.22222223,0,0,0,0,113.03,58.42,25,NaN,NaN,,11,7,1
1900,8,19.11,25.72,12.56,33.33333333,58.33333333,31.66666667,6,3.888888889,4,27.77777778,0,0,0,0,108.712,30.48,13,NaN,NaN,,13,11,1
1900,9,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,,48.006,16.51,21,NaN,NaN,,10,7,0
1900,10,10.83,16.78,4.89,234.4444444,2.222222222,26.66666667,6,-7.777777778,20,34.44444445,0,0,4,0,58.674,18.542,14,0,NaN,,9,7,0
1900,11,1.89,6.39,-2.67,493.8888889,0,15,21,-17.77777778,17,32.77777778,0,4,20,1,181.61,38.1,25,695.96,NaN,,18,14,2
1900,12,-6.78,-0.94,-12.56,706.1111111,0,6.666666667,24,-31.66666667,17,38.33333334,0,13,28,9,110.998,66.04,4,200.66,660.4,15,9,5,1
1901,1,-8.83,-2.89,-14.83,819.4444444,0,4.444444444,21,-32.77777778,20,37.22222222,0,22,30,11,58.674,15.24,12,523.24,762,31,14,6,0
1901,2,-11.5,-6.11,-16.89,835,0,0,16,-26.66666667,24,26.66666667,0,28,28,15,12.954,6.35,4,187.96,863.6,28,5,2,0
1901,3,-3.06,2.33,-8.5,663.3333333,0,11.11111111,24,-26.66666667,3,37.77777778,0,7,30,4,74.676,27.94,11,403.86,889,15,14,7,1
1901,4,6,12,0,370,0,26.66666667,28,-8.888888889,12,35.55555556,0,0,18,0,47.752,18.288,3,152.4,NaN,,10,6,0
1901,5,11.56,17.5,5.61,210,0,27.22222222,22,-2.222222222,6,29.44444444,0,0,3,0,110.49,17.78,18,0,NaN,,18,14,0
1901,6,17.5,24.72,10.28,65,38.88888889,33.33333333,28,1.111111111,17,32.22222222,2,0,0,0,97.282,25.4,7,NaN,NaN,,8,7,1
1901,7,20.44,27.06,13.89,8.333333333,74.44444444,32.77777778,16,5.555555556,12,27.22222222,2,0,0,0,118.11,22.098,28,NaN,NaN,,11,10,0
1901,8,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,,142.748,38.1,7,NaN,NaN,,12,11,1
1901,9,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,,116.586,22.86,29,NaN,NaN,,10,9,0
1901,10,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,,75.946,26.67,13,0,NaN,,10,7,1
1901,11,-2,2.33,-6.33,610,0,21.11111111,1,-16.66666667,29,37.77777778,0,12,28,0,30.734,7.62,25,129.54,NaN,,9,5,0
1901,12,-6,-0.28,-11.72,754.4444444,0,15,15,-26.66666667,21,41.66666667,0,15,30,9,78.994,21.59,29,477.52,330.2,31,12,9,0
1902,1,-10.06,-3.44,-16.67,880.5555556,0,4.444444444,22,-30,20,34.44444444,0,27,31,15,51.308,14.478,22,414.02,482.6,21,15,7,0
1902,2,-8.17,-0.83,-15.56,742.7777778,0,13.33333333,26,-29.44444444,6,42.77777777,0,18,27,11,60.706,25.4,2,NaN,76.2,26,11,6,1
1902,3,0.83,7.11,-5.44,542.2222222,0,13.88888889,30,-15,5,28.88888889,0,5,27,0,42.164,10.668,29,165.1,25.4,21,12,5,0
1902,4,4.61,10.83,-1.61,411.6666667,0,25.55555556,22,-7.777777778,15,33.33333334,0,0,22,0,144.272,55.88,9,0,NaN,,12,7,3
1902,5,9.72,16.83,2.67,271.1111111,5,27.77777778,22,-8.333333333,11,36.11111111,0,0,13,0,103.124,29.718,23,0,NaN,,10,8,1
1902,6,13.06,19.56,6.61,154.4444444,1.666666667,26.66666667,1,-1.666666667,6,28.33333334,0,0,4,0,143.002,27.94,26,NaN,NaN,,14,11,1
1902,7,17.28,23.61,10.94,53.88888889,20.55555556,29.44444444,31,1.666666667,12,27.77777777,0,0,0,0,211.074,53.34,14,NaN,NaN,,15,12,3
1902,8,15.22,22.33,8.06,106.1111111,8.888888889,30,31,0,13,30,0,0,1,0,105.156,45.72,6,NaN,NaN,,10,8,1
1902,9,13.78,19.94,7.56,135,4.444444444,27.22222222,1,-2.777777778,15,30,0,0,5,0,83.312,17.78,4,NaN,NaN,,11,10,0
1902,10,6.28,12.44,0.17,373.3333333,0,20.55555556,1,-11.11111111,18,31.66666667,0,0,14,0,137.668,46.482,28,0,NaN,,15,13,1
1902,11,3.67,9.83,-2.44,440,0,20,5,-15.55555556,29,35.55555556,0,1,22,0,44.958,8.636,13,60.96,NaN,,11,7,0
1902,12,-7.89,-1.56,-14.22,812.7777778,0,7.222222222,2,-30,9,37.22222222,0,19,31,10,90.17,15.24,22,723.9,25.4,31,17,12,0
1903,1,-8.44,-2.72,-14.11,829.4444444,0,6.666666667,28,-33.88888889,24,40.55555556,0,21,31,11,85.598,22.86,21,726.44,76.2,28,18,10,0
1903,2,-6.67,-1.06,-12.28,699.4444444,0,11.66666667,28,-27.77777778,18,39.44444445,0,16,27,7,102.87,22.86,28,596.9,76.2,27,14,9,0
1903,3,2.11,7.72,-3.5,502.7777778,0,19.44444444,20,-15.55555556,7,35,0,1,23,0,122.682,45.72,23,114.3,NaN,,17,13,1
1903,4,3.94,10.72,-2.83,431.6666667,0,27.22222222,30,-12.22222222,5,39.44444444,0,1,22,0,54.864,16.51,4,0,NaN,,9,6,0
1903,5,11.56,21.89,1.22,211.6666667,1.111111111,30,18,-11.11111111,2,41.11111111,0,0,16,0,5.334,4.064,7,0,NaN,,2,1,0
1903,6,12.94,20.28,5.61,163.3333333,1.111111111,26.11111111,6,-1.111111111,5,27.22222222,0,0,5,0,164.338,54.102,21,NaN,NaN,,17,12,2
1903,7,16.83,23.44,10.22,68.88888889,24.44444444,31.66666667,9,1.111111111,28,30.55555556,0,0,0,0,118.618,27.94,22,NaN,NaN,,18,14,1
1903,8,13.22,19.83,6.61,155,1.111111111,27.22222222,23,-0.555555556,8,27.77777778,0,0,1,0,122.682,25.908,25,NaN,NaN,,14,11,1
1903,9,13.06,21.33,4.78,167.7777778,9.444444444,29.44444444,15,-3.333333333,25,32.77777777,0,0,10,0,34.544,17.78,17,0,NaN,,7,4,0
1903,10,7.33,13.67,1,341.6666667,0,21.11111111,6,-12.77777778,28,33.88888889,0,1,14,0,150.622,57.658,9,35.56,NaN,,12,8,2
1903,11,-1.94,3.61,-7.5,607.7777778,0,18.33333333,4,-22.77777778,26,41.11111111,0,13,26,5,33.782,9.652,17,106.68,NaN,,11,6,0
1903,12,-10.06,-4.17,-16,823.3333333,0,3.888888889,21,-32.22222222,29,36.11111111,0,24,29,10,105.41,22.86,10,927.1,558.8,31,22,12,0
1904,1,-13.17,-6.67,-19.61,975.5555556,0,6.666666667,23,-40,19,46.66666667,0,29,31,18,86.614,27.94,22,998.22,990.6,31,16,11,1
1904,2,-11.67,-4.44,-18.89,870,0,9.444444444,7,-31.66666667,12,41.11111111,0,22,28,18,56.642,11.43,22,355.6,1016,6,13,6,0
1904,3,-4.22,1.72,-10.17,672.7777778,0,10.55555556,26,-22.22222222,17,32.77777778,0,12,29,3,87.376,23.622,7,393.7,914.4,1,16,13,0
1904,4,1.56,7.22,-4.06,502.7777778,0,16.66666667,24,-11.66666667,14,28.33333334,0,3,22,0,61.976,13.97,16,220.98,NaN,,17,10,0
1904,5,12.56,20.5,4.56,179.4444444,0,26.66666667,25,-5,12,31.66666667,0,0,5,0,66.294,20.32,15,NaN,NaN,,14,8,0
1904,6,15.78,23.17,8.33,92.22222222,15.55555556,28.33333333,25,-1.111111111,12,29.44444444,0,0,4,0,75.692,25.4,9,NaN,NaN,,14,8,1
1904,7,16.72,23.83,9.67,67.22222222,16.66666667,31.66666667,19,2.777777778,30,28.88888889,0,0,0,0,82.804,20.574,5,NaN,NaN,,14,9,0
1904,8,15.94,23.33,8.56,81.11111111,6.666666667,27.22222222,5,-2.222222222,30,29.44444444,0,0,1,0,103.886,54.61,20,NaN,NaN,,13,4,1
1904,9,11.94,18.78,5.11,195,3.333333333,26.11111111,3,-7.222222222,23,33.33333333,0,0,7,0,129.794,33.02,29,0,NaN,,18,9,1
1904,10,5.44,11.94,-1.06,386.6666667,0,25,20,-12.22222222,31,37.22222222,0,0,19,0,108.204,72.898,21,7.62,NaN,,14,6,1
1904,11,-1.94,4.5,-8.44,570.5555556,0,15,4,-19.44444444,27,34.44444444,0,4,26,2,11.43,7.62,29,119.38,NaN,,3,2,0
1904,12,-9.83,-2.72,-17,873.8888889,0,11.11111111,24,-31.11111111,15,42.22222222,0,26,31,15,45.466,17.78,27,NaN,NaN,,17,5,0
1905,1,-10.33,-3.61,-17.06,863.8888889,0,7.777777778,13,-30.55555556,31,38.33333334,0,22,29,15,48.768,21.59,12,254,355.6,31,12,5,0
1905,2,-10.78,-3.06,-18.56,815.5555556,0,7.777777778,25,-30.55555556,5,38.33333334,0,20,28,12,38.354,15.24,13,520.7,609.6,20,10,5,0
1905,3,-2.56,6.11,-11.22,647.2222222,0,27.22222222,29,-28.33333333,1,55.55555555,0,10,29,10,55.88,12.7,20,558.8,558.8,8,7,7,0
